"volume","category","canonical_path","original_path","size_bytes","sha256","action"
"2","ocr","ocr\vol_2\hocr.html","E:\Download\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_hocr.html","24784310","a3521658484659a9d9e5e46a193ae20e0f50a0195d2cf3e08f34c8be8b5a2e71","skipped_existing"
"2","ocr","ocr\vol_2\hocr_pageindex.json.gz","E:\Download\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_hocr_pageindex.json.gz","6427","7aab55abc3c048f3ac2bcdffbe0ac611190f67c2f4a011ec6a5e6b7f083cc689","skipped_existing"
"2","ocr","ocr\vol_2\hocr_searchtext.txt.gz","E:\Download\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_hocr_searchtext.txt.gz","252394","a578b1380517b3e96baeb4dba7bb2766c1e87eb3a21f3ab3f39d2c4ac5c4e6d4","skipped_existing"
"2","other","vol_2\derivatives\other\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_itemimage.png","E:\Download\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_itemimage.png","2477736","f1b90182dc2a89d0d9d797f97e63764939acc6ff9675dac96976359d441c35b2","skipped_existing"
"2","large_asset","vol_2\large_assets\jp2\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_jp2.zip","E:\Download\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_jp2.zip","2004175245","","skipped_existing"
"2","archive_metadata","vol_2\archive_raw\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_meta.sqlite","E:\Download\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_meta.sqlite","53248","b4f7dc61a6786905bd11dc9f5ab41c01c4d1076b4be4413312bfb1b951c5e6e8","skipped_existing"
"2","archive_metadata","vol_2\archive_raw\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_meta.xml","E:\Download\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_meta.xml","4174","9e2fd725471177c4a867cdfaec0d126b8b704ba37a737f483f7ba22d8d309637","skipped_existing"
"2","page_map","page_maps\vol_2\page_numbers.json","E:\Download\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_page_numbers.json","92237","52151bcec5204cf13c1ee0e9e517e129ae4a247b5f29c7d8f73e980cf3da6256","skipped_existing"
"2","other","vol_2\derivatives\other\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_rotations.json","E:\Download\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_rotations.json","49130","097f59d1c3d19fa00db35c2a8abe4ce1e983c63cd7ae602dc411b1e6388ff812","skipped_existing"
"2","page_map","page_maps\vol_2\scandata.xml","E:\Download\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_scandata.xml","189124","98accd0f8dc1e1e09005cc9ffe54b1616af4f67d1a2147d01d299c7a705385e7","skipped_existing"
"2","other","vol_2\derivatives\other\header\header_0000.jp2","E:\Download\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2\header\header_0000.jp2","347320","05050b03eb92182f8252ef333b78e1709bab14e86c8d0b2d8b2b14a549e48d81","skipped_existing"
"2","other","vol_2\derivatives\other\header\header_0001.jp2","E:\Download\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2\header\header_0001.jp2","1967272","6e2416d90577905e89415ba37bd8894128011594f641f54646c8003814fdf771","skipped_existing"
"2","other","vol_2\derivatives\other\header\header_0002.jp2","E:\Download\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2\header\header_0002.jp2","793317","438638e532f5c9675deab595177044bf89f0af78809ff25719c5025c6a916aea","skipped_existing"
